, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, loan_status, movable_assets, immovable_assets, cibil_category
3435,0, Graduate, Yes,7600000,18100000,16,439, Rejected,40400000,18700000,Poor
3436,1, Graduate, No,3000000,9400000,4,622, Approved,11600000,4100000,Fair
3437,3, Not Graduate, Yes,200000,700000,18,526, Rejected,500000,500000,Poor
3438,5, Not Graduate, Yes,6800000,19000000,8,865, Approved,31300000,16700000,Excellent
3439,5, Not Graduate, Yes,9700000,27400000,2,328, Rejected,29900000,18400000,Poor
3440,0, Graduate, Yes,1200000,4200000,4,768, Approved,4300000,5000000,Excellent
3441,5, Not Graduate, Yes,7400000,24000000,16,854, Approved,29300000,11000000,Excellent
3442,4, Graduate, No,6900000,20800000,4,839, Approved,23500000,5000000,Excellent
3443,0, Not Graduate, Yes,9100000,23300000,18,414, Rejected,40200000,20200000,Poor
3444,0, Graduate, Yes,1300000,4700000,16,530, Rejected,4600000,4200000,Poor
3445,3, Graduate, No,6600000,14600000,10,841, Approved,20800000,27400000,Excellent
3446,3, Not Graduate, Yes,1800000,5700000,14,670, Approved,6200000,8400000,Good
3447,5, Not Graduate, Yes,8200000,20900000,14,726, Approved,34400000,16200000,Good
3448,4, Not Graduate, No,2800000,8300000,14,352, Rejected,10800000,7500000,Poor
3449,1, Graduate, Yes,7000000,16000000,4,554, Approved,34500000,21600000,Fair
3450,4, Graduate, No,700000,1800000,18,728, Approved,2800000,1700000,Good
3451,0, Not Graduate, No,7400000,25500000,6,463, Rejected,35200000,7900000,Poor
3452,5, Not Graduate, Yes,2300000,5000000,10,431, Rejected,11600000,4000000,Poor
3453,1, Graduate, Yes,600000,1900000,8,445, Rejected,1900000,1300000,Poor
3454,5, Graduate, No,1000000,3000000,4,896, Approved,3100000,3900000,Excellent
3455,1, Not Graduate, Yes,2200000,5200000,8,420, Rejected,7300000,3000000,Poor
3456,1, Not Graduate, No,8000000,30900000,2,315, Approved,26800000,24700000,Poor
3457,4, Not Graduate, No,8600000,20900000,10,867, Approved,33600000,31500000,Excellent
3458,3, Not Graduate, Yes,7500000,26000000,2,342, Approved,38100000,15800000,Poor
3459,5, Not Graduate, Yes,5200000,11800000,18,711, Approved,20000000,19400000,Good
3460,2, Not Graduate, No,7900000,20900000,2,723, Approved,23400000,3500000,Good
3461,1, Graduate, Yes,4200000,11300000,4,704, Approved,18900000,7500000,Good
3462,0, Graduate, No,6500000,20200000,16,842, Approved,23900000,20500000,Excellent
3463,0, Graduate, Yes,7400000,15200000,12,600, Approved,22900000,14700000,Fair
3464,3, Not Graduate, No,9100000,25600000,12,688, Approved,39000000,25200000,Good
3465,0, Not Graduate, No,800000,2300000,16,739, Approved,2400000,2400000,Good
3466,1, Graduate, Yes,800000,2800000,10,798, Approved,2900000,2600000,Excellent
3467,5, Graduate, Yes,4100000,9900000,4,319, Rejected,17500000,15000000,Poor
3468,5, Graduate, Yes,4200000,8700000,6,583, Approved,11000000,6800000,Fair
3469,3, Graduate, Yes,4800000,11500000,12,535, Rejected,21000000,11600000,Poor
3470,3, Not Graduate, Yes,8300000,25900000,8,696, Approved,30600000,26600000,Good
3471,4, Not Graduate, No,7600000,23900000,8,672, Approved,26900000,4100000,Good
3472,4, Graduate, No,5100000,12300000,20,410, Rejected,24300000,18400000,Poor
3473,5, Graduate, No,3600000,11600000,14,546, Rejected,16800000,8800000,Poor
3474,3, Not Graduate, Yes,5400000,16800000,16,550, Approved,20400000,17100000,Poor
3475,5, Not Graduate, No,700000,1400000,4,344, Rejected,2900000,2300000,Poor
3476,2, Not Graduate, Yes,9800000,38200000,10,743, Approved,29600000,20200000,Good
3477,4, Graduate, No,9700000,36400000,4,772, Approved,51600000,25100000,Excellent
3478,0, Graduate, Yes,9400000,29900000,12,302, Rejected,43900000,13800000,Poor
3479,3, Graduate, Yes,3200000,9100000,18,376, Rejected,10700000,5300000,Poor
3480,0, Graduate, Yes,3700000,11600000,10,747, Approved,12500000,4500000,Good
3481,2, Graduate, Yes,4200000,15800000,6,710, Approved,17200000,16000000,Good
3482,2, Not Graduate, No,7000000,24200000,6,892, Approved,30600000,21100000,Excellent
3483,3, Not Graduate, No,3200000,11500000,16,492, Rejected,13600000,7100000,Poor
3484,5, Graduate, No,7900000,17700000,2,559, Approved,34300000,22500000,Fair
3485,3, Not Graduate, No,2200000,8300000,18,314, Rejected,7800000,2000000,Poor
3486,0, Graduate, Yes,2700000,8400000,6,744, Approved,9500000,5300000,Good
3487,5, Not Graduate, No,6800000,18000000,12,690, Approved,34300000,29600000,Good
3488,3, Graduate, Yes,6300000,23300000,4,347, Approved,29200000,30500000,Poor
3489,5, Graduate, Yes,9000000,31400000,2,677, Approved,29400000,22800000,Good
3490,1, Graduate, No,4700000,15700000,4,468, Approved,19800000,18400000,Poor
3491,2, Not Graduate, No,8100000,17500000,4,674, Approved,32500000,23500000,Good
3492,2, Not Graduate, No,9000000,27300000,14,353, Rejected,34100000,27000000,Poor
3493,4, Not Graduate, No,3800000,14100000,8,727, Approved,13600000,8800000,Good
3494,4, Not Graduate, Yes,8800000,22200000,10,512, Rejected,41800000,10800000,Poor
3495,3, Not Graduate, Yes,8700000,27200000,18,454, Rejected,42900000,18400000,Poor
3496,5, Not Graduate, No,5000000,12400000,14,315, Rejected,21000000,16000000,Poor
3497,0, Not Graduate, Yes,6000000,22700000,10,480, Rejected,22400000,12100000,Poor
3498,2, Graduate, Yes,9100000,24200000,16,685, Approved,40200000,27500000,Good
3499,1, Graduate, No,7400000,17900000,6,460, Rejected,30900000,3900000,Poor
3500,1, Not Graduate, Yes,8300000,28400000,16,704, Approved,28300000,13100000,Good
3501,1, Graduate, Yes,7600000,23900000,12,692, Approved,32000000,12700000,Good
3502,1, Not Graduate, Yes,3500000,9600000,4,398, Rejected,12500000,7700000,Poor
3503,5, Graduate, Yes,1000000,3500000,18,882, Approved,3500000,1400000,Excellent
3504,5, Graduate, Yes,9900000,25900000,4,860, Approved,43400000,8000000,Excellent
3505,2, Graduate, Yes,5700000,15100000,18,330, Rejected,22800000,9700000,Poor
3506,5, Graduate, No,700000,2400000,16,447, Rejected,3400000,2000000,Poor
3507,0, Not Graduate, Yes,9600000,23800000,12,788, Approved,31600000,24300000,Excellent
3508,1, Not Graduate, No,9300000,28900000,6,526, Rejected,30700000,12700000,Poor
3509,0, Graduate, No,9500000,28400000,18,577, Approved,44300000,16500000,Fair
3510,4, Graduate, Yes,8700000,23400000,16,372, Rejected,28000000,22300000,Poor
3511,5, Graduate, Yes,7300000,21000000,14,759, Approved,31100000,23500000,Excellent
3512,3, Graduate, Yes,4100000,12700000,10,465, Rejected,17300000,8300000,Poor
3513,2, Graduate, No,2900000,10200000,4,789, Approved,9700000,5300000,Excellent
3514,3, Graduate, Yes,7500000,17900000,2,680, Approved,31300000,18800000,Good
3515,1, Graduate, No,7900000,25700000,20,681, Approved,26900000,17900000,Good
3516,1, Graduate, Yes,6900000,22300000,16,673, Approved,30300000,17500000,Good
3517,0, Not Graduate, No,6900000,22900000,10,313, Rejected,34200000,14900000,Poor
3518,0, Not Graduate, No,4800000,18800000,16,551, Approved,22800000,17300000,Fair
3519,5, Graduate, Yes,7700000,24400000,8,453, Rejected,32000000,9100000,Poor
3520,3, Not Graduate, No,6900000,22700000,4,650, Approved,21900000,14300000,Fair
3521,1, Not Graduate, No,1200000,4500000,4,439, Approved,4100000,5000000,Poor
3522,1, Graduate, No,2900000,9600000,4,658, Approved,9700000,12500000,Good
3523,4, Graduate, Yes,5500000,18900000,6,379, Rejected,21600000,23000000,Poor
3524,4, Graduate, Yes,3200000,10700000,4,450, Approved,10000000,10300000,Poor
3525,5, Not Graduate, No,2600000,8200000,4,849, Approved,11600000,9400000,Excellent
3526,0, Graduate, No,500000,1600000,18,865, Approved,1200000,1800000,Excellent
3527,0, Graduate, No,1800000,6900000,10,853, Rejected,5400000,1300000,Excellent
3528,0, Not Graduate, No,1300000,4900000,12,555, Approved,5800000,3600000,Fair
3529,1, Not Graduate, No,9900000,20700000,20,821, Approved,49200000,20900000,Excellent
3530,0, Not Graduate, No,2000000,4700000,2,820, Approved,9100000,5200000,Excellent
3531,1, Not Graduate, No,5100000,15300000,4,721, Approved,21200000,13100000,Good
3532,4, Graduate, Yes,8200000,24000000,20,831, Approved,30200000,26000000,Excellent
3533,5, Not Graduate, No,4200000,12600000,18,571, Approved,17900000,12100000,Fair
3534,2, Not Graduate, Yes,1300000,4900000,8,582, Approved,5100000,3900000,Fair
3535,1, Not Graduate, Yes,4600000,13600000,18,487, Rejected,20900000,19700000,Poor
3536,1, Not Graduate, No,6600000,19700000,12,758, Approved,28300000,20400000,Excellent
3537,2, Graduate, Yes,8300000,30100000,16,636, Approved,40300000,10300000,Fair
3538,0, Graduate, No,6900000,20700000,16,857, Approved,23400000,30800000,Excellent
3539,4, Graduate, Yes,4700000,12500000,8,678, Approved,16800000,13900000,Good
3540,1, Graduate, No,7900000,15800000,8,551, Approved,27000000,4300000,Fair
3541,3, Not Graduate, No,8800000,24900000,16,668, Approved,40500000,33900000,Good
3542,1, Graduate, No,6500000,23400000,2,672, Approved,24300000,15400000,Good
3543,3, Not Graduate, No,3500000,13700000,4,439, Approved,17400000,8000000,Poor
3544,2, Not Graduate, Yes,8200000,19600000,16,636, Approved,39500000,13800000,Fair
3545,0, Not Graduate, Yes,2000000,6000000,14,393, Rejected,8800000,2900000,Poor
3546,5, Not Graduate, No,2700000,8200000,2,848, Approved,7700000,8000000,Excellent
3547,0, Graduate, Yes,5300000,17600000,4,790, Approved,27400000,12200000,Excellent
3548,2, Not Graduate, No,9900000,19900000,6,312, Rejected,42400000,23600000,Poor
3549,2, Not Graduate, Yes,5000000,19500000,14,775, Approved,16400000,7800000,Excellent
3550,2, Not Graduate, No,9100000,18600000,20,403, Rejected,29500000,30100000,Poor
3551,3, Not Graduate, Yes,7600000,26400000,14,867, Approved,35300000,9900000,Excellent
3552,0, Graduate, No,5200000,17800000,18,558, Approved,16100000,13700000,Fair
3553,5, Graduate, No,1800000,6000000,4,548, Approved,9100000,3800000,Poor
3554,0, Not Graduate, No,7300000,28200000,16,486, Rejected,24100000,24100000,Poor
3555,4, Graduate, No,3200000,11600000,6,635, Approved,10400000,7900000,Fair
3556,5, Graduate, No,5200000,20700000,2,538, Approved,18200000,5200000,Poor
3557,4, Not Graduate, No,7100000,28200000,14,496, Rejected,32300000,17200000,Poor
3558,4, Graduate, Yes,1400000,4800000,6,411, Rejected,6000000,1700000,Poor
3559,4, Not Graduate, No,2700000,10700000,6,857, Approved,11000000,11600000,Excellent
3560,5, Graduate, Yes,6500000,18100000,10,360, Rejected,26300000,26300000,Poor
3561,4, Graduate, No,9300000,35900000,18,461, Rejected,37600000,22500000,Poor
3562,0, Graduate, Yes,6700000,14900000,16,638, Approved,30400000,10200000,Fair
3563,5, Graduate, No,6800000,19300000,6,865, Approved,31900000,12200000,Excellent
3564,5, Not Graduate, No,5600000,13600000,4,449, Rejected,23100000,11600000,Poor
3565,1, Not Graduate, Yes,1900000,4700000,2,870, Approved,6200000,7000000,Excellent
3566,5, Not Graduate, No,8400000,19500000,6,815, Approved,31200000,7800000,Excellent
3567,2, Not Graduate, Yes,2500000,7200000,16,454, Rejected,9200000,5200000,Poor
3568,1, Not Graduate, Yes,2900000,9900000,18,783, Approved,13600000,1400000,Excellent
3569,3, Graduate, Yes,3200000,7400000,2,543, Rejected,15800000,8100000,Poor
3570,4, Not Graduate, Yes,3000000,10900000,2,786, Approved,11200000,10900000,Excellent
3571,3, Graduate, Yes,800000,2500000,20,395, Rejected,2100000,1800000,Poor
3572,2, Not Graduate, Yes,400000,1300000,2,885, Approved,1600000,500000,Excellent
3573,2, Not Graduate, No,4400000,10600000,20,488, Rejected,17800000,13200000,Poor
3574,2, Not Graduate, Yes,8700000,19900000,10,829, Approved,28600000,18000000,Excellent
3575,4, Not Graduate, No,7400000,15400000,6,677, Approved,36300000,35500000,Good
3576,4, Not Graduate, Yes,5700000,14400000,12,645, Approved,17600000,23100000,Fair
3577,5, Not Graduate, Yes,9700000,27600000,10,788, Approved,42400000,12500000,Excellent
3578,2, Not Graduate, No,7000000,22400000,6,649, Approved,26700000,22100000,Fair
3579,2, Not Graduate, No,8900000,23100000,4,519, Rejected,29900000,23300000,Poor
3580,3, Graduate, Yes,3100000,11200000,14,772, Approved,10400000,9200000,Excellent
3581,4, Graduate, No,2200000,6100000,12,330, Rejected,7200000,8400000,Poor
3582,5, Not Graduate, Yes,7100000,21500000,4,557, Approved,30400000,16900000,Fair
3583,4, Graduate, Yes,8200000,19000000,6,334, Rejected,38800000,31300000,Poor
3584,3, Graduate, Yes,9800000,28400000,12,487, Rejected,41900000,24300000,Poor
3585,2, Graduate, Yes,3900000,9700000,8,539, Rejected,13000000,12000000,Poor
3586,2, Graduate, Yes,2200000,8100000,8,710, Approved,8300000,3400000,Good
3587,5, Not Graduate, Yes,600000,1700000,20,879, Approved,3000000,1200000,Excellent
3588,4, Not Graduate, Yes,6900000,22000000,10,512, Rejected,24500000,15200000,Poor
3589,2, Graduate, Yes,7400000,27300000,18,561, Approved,36700000,13000000,Fair
3590,3, Not Graduate, Yes,4000000,11600000,6,539, Rejected,16800000,8500000,Poor
3591,3, Not Graduate, Yes,700000,2000000,18,544, Rejected,1900000,2100000,Poor
3592,2, Not Graduate, Yes,1900000,4600000,16,631, Approved,7200000,5900000,Fair
3593,2, Graduate, No,2200000,6800000,20,546, Rejected,6700000,4800000,Poor
3594,1, Graduate, Yes,2000000,5600000,14,569, Approved,9500000,6100000,Fair
3595,4, Not Graduate, No,7400000,17900000,6,384, Rejected,27100000,25700000,Poor
3596,2, Not Graduate, Yes,2300000,9000000,6,583, Approved,10300000,4900000,Fair
3597,5, Not Graduate, Yes,4000000,15500000,12,517, Rejected,15600000,600000,Poor
3598,3, Graduate, Yes,1500000,5800000,18,420, Rejected,5500000,2700000,Poor
3599,2, Not Graduate, Yes,5200000,12900000,18,644, Approved,19500000,5400000,Fair
3600,2, Graduate, No,5400000,14500000,8,349, Rejected,27700000,15600000,Poor
3601,3, Graduate, No,7700000,25300000,18,662, Approved,29000000,14800000,Good
3602,0, Not Graduate, Yes,1900000,6400000,20,704, Approved,7200000,4300000,Good
3603,4, Not Graduate, Yes,6400000,15500000,2,324, Rejected,18400000,29500000,Poor
3604,5, Graduate, No,700000,1700000,18,757, Approved,2700000,2100000,Excellent
3605,3, Graduate, Yes,5800000,23000000,16,361, Rejected,25800000,16100000,Poor
3606,1, Graduate, No,1800000,5400000,4,415, Approved,7400000,6400000,Poor
3607,5, Graduate, Yes,4300000,13800000,18,618, Approved,16400000,10400000,Fair
3608,4, Graduate, No,8000000,27100000,8,524, Rejected,34000000,27800000,Poor
3609,0, Not Graduate, No,1100000,4100000,18,887, Approved,3900000,1700000,Excellent
3610,2, Not Graduate, Yes,8800000,31100000,12,729, Approved,31300000,14700000,Good
3611,4, Graduate, No,4800000,18600000,14,774, Approved,19200000,16600000,Excellent
3612,0, Not Graduate, Yes,200000,700000,20,724, Approved,800000,600000,Good
3613,5, Graduate, Yes,1400000,2700000,16,320, Rejected,4700000,3400000,Poor
3614,5, Graduate, No,2500000,6400000,16,590, Approved,9300000,7100000,Fair
3615,5, Graduate, No,8100000,25300000,8,796, Approved,29300000,28500000,Excellent
3616,0, Graduate, Yes,6100000,19200000,6,890, Approved,24300000,19800000,Excellent
3617,0, Not Graduate, Yes,2000000,4600000,16,651, Approved,8800000,4500000,Good
3618,4, Not Graduate, No,4800000,10100000,12,634, Approved,21900000,9500000,Fair
3619,4, Graduate, Yes,900000,2800000,2,660, Approved,3300000,2600000,Good
3620,4, Not Graduate, No,1300000,3500000,12,512, Rejected,3900000,4700000,Poor
3621,4, Not Graduate, Yes,4200000,9100000,2,900, Approved,16800000,12000000,Excellent
3622,2, Graduate, Yes,3300000,11100000,20,823, Approved,14600000,6100000,Excellent
3623,2, Not Graduate, Yes,8700000,28400000,12,880, Approved,23800000,9800000,Excellent
3624,1, Not Graduate, Yes,800000,2600000,2,439, Approved,2200000,600000,Poor
3625,5, Graduate, Yes,7400000,17100000,2,441, Rejected,31400000,16300000,Poor
3626,3, Not Graduate, No,6900000,18500000,6,360, Rejected,28400000,14000000,Poor
3627,1, Graduate, Yes,8800000,33700000,14,561, Approved,37600000,17300000,Fair
3628,2, Graduate, Yes,8600000,32500000,4,758, Approved,24900000,21500000,Excellent
3629,2, Graduate, No,5400000,20600000,18,621, Approved,17100000,13400000,Fair
3630,4, Graduate, Yes,2900000,5900000,18,621, Approved,12000000,3300000,Fair
3631,3, Graduate, No,9800000,21000000,12,342, Rejected,33900000,42000000,Poor
3632,4, Graduate, No,3300000,10800000,4,552, Approved,11900000,5100000,Fair
3633,0, Not Graduate, No,300000,500000,18,376, Rejected,1100000,300000,Poor
3634,0, Graduate, No,1500000,4300000,12,801, Approved,4400000,6600000,Excellent
3635,3, Not Graduate, Yes,5400000,16300000,4,512, Approved,19100000,5000000,Poor
3636,0, Graduate, No,6600000,15200000,18,497, Rejected,23800000,8400000,Poor
3637,0, Graduate, No,5700000,17200000,8,386, Rejected,17300000,11300000,Poor
3638,3, Not Graduate, Yes,8500000,26100000,2,683, Approved,29800000,17000000,Good
3639,0, Graduate, No,7400000,24100000,16,779, Approved,33800000,3700000,Excellent
3640,3, Not Graduate, Yes,7800000,17700000,6,876, Approved,35900000,30800000,Excellent
3641,3, Graduate, Yes,7200000,16500000,18,515, Rejected,27900000,14100000,Poor
3642,2, Not Graduate, No,7600000,19300000,12,463, Rejected,25600000,6900000,Poor
3643,4, Not Graduate, Yes,7000000,26700000,4,486, Approved,24800000,22800000,Poor
3644,0, Not Graduate, No,5700000,13000000,6,328, Rejected,28900000,15300000,Poor
3645,2, Not Graduate, No,8200000,30600000,10,343, Rejected,23900000,21300000,Poor
3646,0, Graduate, Yes,9000000,27800000,8,712, Approved,30200000,7600000,Good
3647,3, Not Graduate, No,3900000,11900000,6,607, Approved,10800000,12600000,Fair
3648,0, Graduate, No,6500000,16200000,4,812, Approved,26400000,27900000,Excellent
3649,4, Not Graduate, Yes,2300000,7700000,16,589, Approved,8600000,10400000,Fair
3650,1, Not Graduate, No,5700000,21800000,18,657, Approved,25000000,17300000,Good
3651,4, Not Graduate, No,800000,2800000,12,453, Rejected,3500000,1800000,Poor
3652,4, Not Graduate, Yes,8400000,19700000,14,889, Approved,34100000,28200000,Excellent
3653,1, Graduate, Yes,4300000,17200000,4,564, Approved,13700000,17000000,Fair
3654,1, Not Graduate, Yes,300000,900000,20,419, Rejected,900000,800000,Poor
3655,1, Graduate, No,8700000,34000000,16,663, Approved,25900000,16100000,Good
3656,1, Not Graduate, No,4400000,12100000,4,884, Approved,21000000,16300000,Excellent
3657,1, Graduate, Yes,5600000,16800000,16,528, Rejected,16200000,14000000,Poor
3658,2, Graduate, No,600000,1300000,12,475, Rejected,2900000,1200000,Poor
3659,4, Not Graduate, Yes,2500000,5100000,20,695, Approved,10200000,5200000,Good
3660,5, Not Graduate, No,3800000,10500000,10,759, Approved,13400000,8500000,Excellent
3661,2, Not Graduate, No,2500000,9600000,4,636, Approved,9300000,1900000,Fair
3662,3, Not Graduate, Yes,5500000,20400000,10,546, Rejected,17500000,18800000,Poor
3663,5, Graduate, Yes,4500000,17100000,2,639, Approved,18500000,18100000,Fair
3664,4, Not Graduate, No,1900000,4000000,10,388, Rejected,6500000,1900000,Poor
3665,5, Graduate, Yes,6400000,20000000,12,594, Approved,22000000,2200000,Fair
3666,1, Not Graduate, Yes,3800000,11100000,6,760, Approved,14400000,3900000,Excellent
3667,4, Not Graduate, Yes,6300000,16900000,16,582, Approved,29700000,19600000,Fair
3668,3, Not Graduate, No,300000,600000,6,896, Approved,1000000,700000,Excellent
3669,5, Not Graduate, Yes,7100000,21800000,18,891, Approved,23600000,7000000,Excellent
3670,2, Not Graduate, Yes,600000,1700000,2,495, Rejected,1700000,1900000,Poor
3671,3, Graduate, Yes,4400000,15300000,16,865, Approved,18400000,9600000,Excellent
3672,4, Not Graduate, No,7600000,20800000,12,775, Approved,25600000,15500000,Excellent
3673,5, Graduate, Yes,8700000,26400000,10,318, Rejected,32400000,14700000,Poor
3674,3, Graduate, Yes,5600000,12700000,12,395, Rejected,28400000,17500000,Poor
3675,4, Not Graduate, No,4100000,13100000,14,772, Approved,14300000,15400000,Excellent
3676,2, Not Graduate, Yes,7900000,16100000,18,318, Rejected,39200000,20200000,Poor
3677,3, Not Graduate, Yes,5600000,20900000,14,649, Approved,21200000,14700000,Fair
3678,3, Not Graduate, No,1200000,3100000,10,438, Rejected,4900000,3700000,Poor
3679,5, Graduate, No,6900000,19700000,6,588, Approved,24400000,17300000,Fair
3680,5, Not Graduate, No,2700000,5600000,2,815, Approved,9700000,3100000,Excellent
3681,4, Graduate, Yes,9800000,22100000,4,364, Rejected,33800000,27900000,Poor
3682,2, Not Graduate, No,9300000,32300000,4,586, Approved,47400000,20700000,Fair
3683,4, Not Graduate, No,6700000,25300000,12,555, Approved,28400000,20500000,Fair
3684,4, Graduate, No,1300000,4600000,10,312, Rejected,3900000,2400000,Poor
3685,2, Graduate, Yes,7900000,17100000,16,605, Approved,32300000,33300000,Fair
3686,5, Not Graduate, No,6700000,23200000,18,672, Approved,26200000,8300000,Good
3687,2, Not Graduate, Yes,2100000,4500000,18,591, Approved,7000000,3000000,Fair
3688,4, Graduate, Yes,4700000,11000000,4,321, Rejected,16500000,10200000,Poor
3689,2, Graduate, No,3700000,13400000,16,393, Rejected,17700000,7000000,Poor
3690,0, Graduate, Yes,5800000,21800000,2,561, Approved,19200000,11600000,Fair
3691,5, Graduate, Yes,2400000,6900000,20,725, Approved,11200000,2100000,Good
3692,1, Not Graduate, Yes,8100000,27600000,16,438, Rejected,40200000,11500000,Poor
3693,5, Graduate, Yes,5400000,21400000,12,399, Rejected,19200000,13700000,Poor
3694,0, Graduate, No,1400000,5400000,8,592, Approved,5100000,4500000,Fair
3695,2, Not Graduate, No,2500000,8600000,8,835, Approved,9000000,6500000,Excellent
3696,0, Not Graduate, Yes,1600000,5300000,4,733, Approved,6600000,2500000,Good
3697,0, Not Graduate, No,3700000,10600000,20,484, Rejected,17400000,7100000,Poor
3698,5, Not Graduate, Yes,500000,1800000,20,615, Approved,1400000,1200000,Fair
3699,3, Not Graduate, Yes,5300000,19500000,4,591, Approved,27700000,17900000,Fair
3700,0, Graduate, Yes,2800000,6800000,12,349, Rejected,12500000,6100000,Poor
3701,1, Graduate, Yes,9600000,29900000,18,478, Rejected,47600000,33700000,Poor
3702,4, Graduate, No,2200000,7800000,20,633, Approved,10300000,3900000,Fair
3703,1, Not Graduate, Yes,8400000,30900000,8,378, Rejected,37000000,19600000,Poor
3704,1, Not Graduate, No,2100000,5300000,20,461, Rejected,9800000,5300000,Poor
3705,2, Not Graduate, Yes,2800000,7000000,2,834, Approved,9400000,3400000,Excellent
3706,0, Not Graduate, No,2500000,5800000,20,671, Approved,9500000,7900000,Good
3707,3, Graduate, Yes,1700000,5800000,10,524, Rejected,7400000,7000000,Poor
3708,3, Graduate, No,6100000,20700000,4,816, Approved,30100000,20300000,Excellent
3709,3, Graduate, No,4100000,11700000,10,729, Approved,17500000,13100000,Good
3710,5, Not Graduate, Yes,4500000,12700000,8,307, Rejected,15300000,14800000,Poor
3711,2, Graduate, Yes,5600000,19100000,8,350, Rejected,18400000,3900000,Poor
3712,3, Not Graduate, Yes,5800000,16600000,10,444, Rejected,23500000,19200000,Poor
3713,4, Not Graduate, No,8600000,26700000,10,895, Approved,29500000,11000000,Excellent
3714,2, Graduate, No,2900000,10500000,20,708, Approved,12000000,4800000,Good
3715,2, Not Graduate, Yes,8300000,17600000,2,355, Rejected,35200000,1700000,Poor
3716,5, Not Graduate, No,2400000,5100000,6,756, Approved,8700000,1700000,Excellent
3717,4, Graduate, No,5600000,12000000,4,719, Approved,17900000,8500000,Good
3718,1, Graduate, Yes,9500000,35400000,14,439, Rejected,33700000,1600000,Poor
3719,4, Not Graduate, Yes,4900000,15900000,10,668, Approved,17700000,19100000,Good
3720,4, Not Graduate, Yes,5900000,16500000,2,765, Approved,23500000,22400000,Excellent
3721,5, Graduate, Yes,500000,1500000,4,476, Approved,1800000,400000,Poor
3722,3, Graduate, No,7000000,21700000,14,781, Approved,28900000,13900000,Excellent
3723,1, Not Graduate, No,3500000,12700000,4,350, Approved,14700000,12000000,Poor
3724,0, Graduate, No,5200000,12200000,16,783, Approved,16500000,7000000,Excellent
3725,3, Graduate, Yes,6300000,19900000,12,770, Approved,18600000,4300000,Excellent
3726,2, Not Graduate, No,8400000,28300000,10,822, Approved,37400000,17800000,Excellent
3727,1, Not Graduate, Yes,7500000,22500000,14,469, Rejected,20700000,21900000,Poor
3728,2, Graduate, No,3300000,13000000,16,300, Rejected,10500000,11400000,Poor
3729,2, Not Graduate, No,8800000,22400000,14,692, Approved,29500000,26800000,Good
3730,5, Graduate, No,200000,700000,18,707, Approved,700000,0,Good
3731,5, Not Graduate, Yes,8000000,29100000,4,658, Approved,33400000,19200000,Good
3732,3, Graduate, No,1000000,4000000,6,625, Approved,3300000,800000,Fair
3733,1, Graduate, No,9400000,26700000,10,343, Rejected,41800000,10100000,Poor
3734,5, Graduate, No,2100000,7300000,18,358, Rejected,9400000,6900000,Poor
3735,4, Graduate, Yes,5400000,11500000,20,705, Approved,19600000,18400000,Good
3736,2, Graduate, Yes,4700000,15100000,8,799, Approved,15400000,12200000,Excellent
3737,3, Graduate, No,8800000,33700000,12,397, Rejected,31000000,33300000,Poor
3738,5, Graduate, No,3200000,12200000,6,493, Rejected,8800000,13900000,Poor
3739,0, Graduate, Yes,7200000,21900000,4,446, Approved,32100000,28600000,Poor
3740,2, Not Graduate, Yes,2500000,7200000,16,315, Rejected,7700000,8800000,Poor
3741,5, Not Graduate, Yes,6900000,15700000,14,887, Approved,29700000,19100000,Excellent
3742,5, Graduate, Yes,5700000,20500000,16,429, Rejected,26300000,4700000,Poor
3743,4, Graduate, Yes,5500000,15100000,18,673, Approved,21100000,18500000,Good
3744,4, Not Graduate, Yes,9200000,29100000,10,731, Approved,40800000,22800000,Good
3745,5, Graduate, Yes,5700000,11500000,2,732, Approved,20900000,19500000,Good
3746,5, Graduate, Yes,5000000,16400000,14,525, Rejected,18600000,22100000,Poor
3747,4, Not Graduate, No,2300000,5500000,6,343, Rejected,8000000,4000000,Poor
3748,0, Not Graduate, Yes,3000000,11000000,16,331, Rejected,9000000,12500000,Poor
3749,0, Not Graduate, No,7900000,26200000,18,845, Approved,33700000,28900000,Excellent
3750,2, Graduate, No,2000000,6200000,16,696, Approved,6700000,4700000,Good
3751,5, Not Graduate, No,2700000,8700000,14,772, Approved,11300000,5000000,Excellent
3752,3, Graduate, Yes,6400000,15800000,18,628, Approved,30100000,9600000,Fair
3753,0, Not Graduate, Yes,8200000,19100000,2,764, Approved,24500000,31800000,Excellent
3754,1, Graduate, No,2800000,6900000,14,553, Approved,11000000,5300000,Fair
3755,1, Not Graduate, No,8900000,20000000,2,653, Approved,27700000,13300000,Good
3756,1, Not Graduate, No,5100000,20000000,4,506, Approved,27000000,16800000,Poor
3757,3, Graduate, No,2800000,8500000,20,431, Rejected,10000000,7900000,Poor
3758,2, Not Graduate, Yes,6100000,12300000,18,697, Approved,16100000,23200000,Good
3759,2, Not Graduate, No,8400000,24500000,6,588, Approved,33300000,12300000,Fair
3760,1, Not Graduate, No,1600000,5600000,6,846, Approved,5800000,3400000,Excellent
3761,5, Graduate, No,4100000,11000000,14,379, Rejected,13900000,7900000,Poor
3762,1, Not Graduate, No,300000,700000,10,745, Approved,1000000,0,Good
3763,3, Graduate, No,9600000,34500000,20,523, Rejected,29600000,28700000,Poor
